Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
2200072,2022,03/13/2023,New Fairfield,284 RTE 39,200200.00,588000.00,0.3405,Residential,Single Family,25 - Other,MULTI PARCEL SALE,,POINT (-73.477177012 41.519633998)
22031,2022,08/09/2023,Franklin,ROUTE 32,140490.00,135000.00,1.0406,Vacant Land,,24 - Plottage,SOLD TO ABUTTER,,POINT (-72.144497253 41.610445188)
220407,2022,05/18/2023,Enfield,61 TILL ST,138000.00,145000.00,0.9517,Residential,Single Family,25 - Other,SOLD AS IS,,POINT (-72.56769098 42.02453998)
220035,2022,10/17/2022,Branford,111 FLORENCE RD 2-A,82300.00,175000.00,0.4702,Residential,Condo,,,,POINT (-72.839666974 41.275115987)
220225,2022,06/21/2023,New Canaan,135 BRAEBURN DR,786590.00,1975000.00,0.3982,Residential,Single Family,,,,POINT (-73.460522002 41.150868019)
220834,2022,08/21/2023,Meriden,533 MURDOCK AVE,243460.00,414000.00,0.5880,Residential,Single Family,,,,POINT (-72.77361699 41.507651984)
22502,2022,09/08/2023,Middlebury,SOUTH ST 5-02/014,127700.00,170000.00,0.7511,Vacant Land,,,,,POINT (-73.124237859 41.526927638)
220077,2022,04/25/2023,Essex,57 COMSTOCK AVE,138700.00,379000.00,0.3659,Residential,Single Family,,,,POINT (-72.443473019 41.344206003)
220167,2022,12/27/2022,Enfield,1 WOODWARD AVE,119700.00,229900.00,0.5206,Residential,Single Family,,,,POINT (-72.593440019 41.995107011)
220505,2022,04/17/2023,Hamden,2680 DIXWELL AVE,124810.00,360000.00,0.3467,Residential,Single Family,07 - Change in Property,,NEW CONSTRUCTION,POINT (-72.910879959 41.382448017)
22055,2022,07/20/2023,Marlborough,101 SANER RD,232400.00,449000.00,0.5175,Residential,Single Family,,,,POINT (-72.479479999 41.622990995)
220111,2022,11/16/2022,New Haven,104 PENDLETON ST,253330.00,418500.00,0.6053,Residential,Three Family,,,,POINT (-72.953002962 41.319451016)
220984,2022,09/29/2023,Hartford,54-84 HENDRICXSEN AVE,2055760.00,4410000.00,0.4661,Apartments,,25 - Other,Restricted rents,,POINT (-72.661249029 41.751167016)
221060,2022,05/22/2023,Fairfield,4 HULLS HIGHWAY,238980.00,475000.00,0.5031,Residential,Condo,,,,POINT (-73.294112977 41.139247013)
220379,2022,03/03/2023,Meriden,35 MAPLE ST,304640.00,329000.00,0.9260,Commercial,,15 - Government Agency,,,POINT (-72.807161032 41.539147991)
220042,2022,10/24/2022,East Hartford,244 CHESTER ST,139950.00,333000.00,0.4202,Residential,Single Family,07 - Change in Property,,,POINT (-72.592094975 41.774696988)
220286,2022,07/31/2023,New Canaan,87 JUNIPER RD,1061550.00,1800000.00,0.5897,Residential,Single Family,,,,POINT (-73.464810016 41.150841993)
220263,2022,07/19/2023,New Canaan,69 SUMMER ST,466760.00,715000.00,0.6528,Residential,Single Family,,,,POINT (-73.487803002 41.149490998)
220721,2022,06/16/2023,Hartford,43 LIBERTY ST,49208.00,140000.00,0.3514,Residential,Single Family,,,,POINT (-72.68535203 41.775215995)
220098,2022,03/30/2023,Ellington,106 WEST RD,217370.00,300000.00,0.7245,Commercial,,,,,POINT (-72.464486031 41.881636997)
2200153,2022,02/03/2023,East Haven,419 MAIN ST,153300.00,335000.00,0.4576,Residential,Two Family,,,,POINT (-72.876862005 41.281828005)
220827,2022,07/27/2023,Hartford,270-272 SOUTH ST,112381.00,360000.00,0.3121,Residential,Two Family,,,,POINT (-72.683025968 41.734326012)
